,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less than 12 Months,,12 Months or Greater,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estimated Fair Value,,Gross Unrealized Loss,,Estimated Fair Value,,Gross Unrealized Loss,,Estimated Fair Value,,Gross Unrealized Loss,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(In millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt securities issued by the U.S. Treasury,$,"6,315",,,$,(22),,,$,177,,,$,—,,,$,"6,492",,,$,(22),,,,,,,,,,,,,
Corporate debt securities,"5,291",,,(29),,,15,,,—,,,"5,306",,,(29),,,,,,,,,,,,,,,,,,,
Debt securities issued by U.S. government agencies,816,,,(5),,,21,,,—,,,837,,,(5),,,,,,,,,,,,,,,,,,,
Total,$,"12,422",,,$,(56),,,$,213,,,$,—,,,$,"12,635",,,$,(56),,,,,,,,,,,,,
