,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,
,(In millions),,,,,,,,,,,,,,,,
Balance at beginning of period,$,306,,,$,82,,,$,46,,,,,,,
Additions,"1,203",,,278,,,145,,,,,,,,,,
Utilization,(219),,,(54),,,(109),,,,,,,,,,
Balance at end of period,$,"1,290",,,$,306,,,$,82,,,,,,,
