,,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,(In millions),,,,,,,,,,,,,,,,
Balance at beginning of period,$,"1,670",,,$,"1,238",,,$,"1,013",,,,,,,
Increases in tax positions for current year,"1,268",,,616,,,268,,,,,,,,,,
Increases in tax positions for prior years,48,,,87,,,1,,,,,,,,,,
Decreases in tax positions for prior years,(88),,,(148),,,(15),,,,,,,,,,
Lapse in statute of limitations,(27),,,(19),,,(20),,,,,,,,,,
Settlements,(10),,,(104),,,(9),,,,,,,,,,
Balance at end of period,$,"2,861",,,$,"1,670",,,$,"1,238",,,,,,,
