,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Jan 28, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Less than 12 Months,,12 Months or Greater,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estimated Fair Value,,Gross Unrealized Loss,,Estimated Fair Value,,Gross Unrealized Loss,,Estimated Fair Value,,Gross Unrealized Loss,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(In millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debt securities issued by the U.S. Treasury,$,"3,343",,,$,(5),,,$,"1,078",,,$,(5),,,$,"4,421",,,$,(10),,,,,,,,,,,,,
Corporate debt securities,"1,306",,,(3),,,618,,,(2),,,"1,924",,,(5),,,,,,,,,,,,,,,,,,,
Debt securities issued by U.S. government agencies,670,,,(1),,,—,,,—,,,670,,,(1),,,,,,,,,,,,,,,,,,,
Total,$,"5,319",,,$,(9),,,$,"1,696",,,$,(7),,,$,"7,015",,,$,(16),,,,,,,,,,,,,
