,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,Change,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,"($ in millions, except per share data)",,,,,,,,,,,,,,,,
Revenue,$,"130,497",,,$,"60,922",,,Up 114%,,,,,,,,
Gross margin,75.0,%,,72.7,%,,Up 2.3 pts,,,,,,,,,,
Operating expenses,$,"16,405",,,$,"11,329",,,Up 45%,,,,,,,,
Operating income,$,"81,453",,,$,"32,972",,,Up 147%,,,,,,,,
Net income,$,"72,880",,,$,"29,760",,,Up 145%,,,,,,,,
Net income per diluted share,$,2.94,,,$,1.19,,,Up 147%,,,,,,,,
