,,,,,,,,,,,,,,,,,
,Year Ended,,,,,,,,,,,,,,,,
,"Jan 26, 2025",,"Jan 28, 2024",,"Jan 29, 2023",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Revenue by End Market:,(In millions),,,,,,,,,,,,,,,,
Data Center,$,"115,186",,,$,"47,525",,,$,"15,005",,,,,,,
Compute,"102,196",,,"38,950",,,"11,317",,,,,,,,,,
Networking,"12,990",,,"8,575",,,"3,688",,,,,,,,,,
Gaming,"11,350",,,"10,447",,,"9,067",,,,,,,,,,
Professional Visualization,"1,878",,,"1,553",,,"1,544",,,,,,,,,,
Automotive,"1,694",,,"1,091",,,903,,,,,,,,,,
OEM and Other,389,,,306,,,455,,,,,,,,,,
Total revenue,$,"130,497",,,$,"60,922",,,$,"26,974",,,,,,,
